date,name,item,amount,category
2025-01-28,Judy,Doctor Visit,137.29,Health
2025-02-14,Ivan,Internet,2247.06,Housing
2025-01-05,Ivan,Whole Foods,36.92,Food
2025-03-16,Bob,Concert Ticket,131.98,Entertainment
2025-01-18,Bob,Pharmacy,141.8,Health
2025-02-13,Eve,Sweetgreen,13.42,Food
2025-03-16,Eve,Utility Bill,2449.15,Housing
2025-03-23,Charlie,Starbucks,44.67,Food
2025-02-03,Alice,Chipotle,67.95,Food
2025-03-26,Frank,Train Ticket,20.55,Transport
2025-02-06,Grace,Amazon - Headphones,116.52,Electronics
2025-01-31,Ivan,Parking,60.53,Transport
2025-01-29,Alice,Amazon - Headphones,1222.59,Electronics
2025-02-10,Frank,Amazon - Headphones,317.34,Electronics
2025-02-25,Heidi,Grocery Store,23.73,Food
2025-02-22,Judy,Doctor Visit,87.36,Health
2025-02-14,Heidi,Whole Foods,121.17,Food
2025-02-23,Bob,Train Ticket,148.56,Transport
2025-01-01,Charlie,Whole Foods,22.88,Food
2025-01-30,Frank,Home Depot,2400.92,Housing
2025-03-19,Ivan,Gas Station,68.09,Transport
2025-03-02,Grace,Gym Membership,87.34,Health
2025-01-18,Charlie,Doctor Visit,120.72,Health
2025-01-21,Alice,Pharmacy,91.81,Health
2025-03-05,Charlie,Grocery Store,95.53,Food
2025-01-18,Ivan,Lyft,27.12,Transport
2025-02-05,Bob,Doctor Visit,70.24,Health
2025-02-12,Judy,Gas Station,36.71,Transport
2025-02-22,Heidi,Chipotle,30.42,Food
2025-03-29,Eve,Pharmacy,110.36,Health
2025-02-17,Heidi,Concert Ticket,10.43,Entertainment
2025-01-25,Alice,Movie Theater,128.62,Entertainment
2025-01-12,Ivan,Home Depot,1674.89,Housing
2025-03-19,Ivan,Pharmacy,38.8,Health
2025-02-20,Bob,Newegg,62.44,Electronics
2025-01-03,Eve,Home Depot,2399.06,Housing
2025-02-22,Eve,Lyft,9.09,Transport
2025-02-04,Eve,McDonalds,73.98,Food
2025-03-15,Heidi,Doctor Visit,143.17,Health
2025-02-11,Eve,Doctor Visit,104.53,Health
2025-03-27,Heidi,Internet,980.27,Housing
2025-03-14,Frank,Doctor Visit,12.0,Health
2025-02-25,Judy,Movie Theater,7.73,Entertainment
2025-03-25,Bob,Movie Theater,106.13,Entertainment
2025-02-08,Alice,Monthly Rent,1382.57,Housing
2025-01-09,Charlie,Parking,53.58,Transport
2025-03-20,Heidi,Movie Theater,138.37,Entertainment
2025-01-05,Eve,Chipotle,131.38,Food
2025-02-23,Grace,Train Ticket,28.72,Transport
2025-03-21,Bob,Grocery Store,146.09,Food
2025-03-22,Bob,Monthly Rent,2411.8,Housing
2025-03-09,Alice,Internet,1107.09,Housing
2025-02-24,Ivan,Amazon - Headphones,507.97,Electronics
2025-03-15,Judy,Home Depot,1466.08,Housing
2025-01-13,Grace,Internet,585.97,Housing
2025-03-18,Charlie,Starbucks,108.16,Food
2025-03-12,Alice,Chipotle,142.15,Food
2025-03-24,Heidi,Home Depot,1316.58,Housing
2025-02-21,Grace,Lyft,121.29,Transport
2025-03-06,Bob,Apple Store,850.49,Electronics
2025-01-14,Frank,Best Buy,1434.77,Electronics
2025-02-10,Frank,Doctor Visit,33.71,Health
2025-01-07,Ivan,Monthly Rent,1351.23,Housing
2025-03-05,Judy,Netflix,100.3,Entertainment
2025-03-12,Bob,Doctor Visit,132.85,Health
2025-02-24,Eve,Whole Foods,78.82,Food
2025-01-27,Bob,Uber,41.71,Transport
2025-01-04,Judy,Concert Ticket,143.08,Entertainment
2025-02-06,Charlie,Amazon - Headphones,201.94,Electronics
2025-01-19,Ivan,Internet,1092.1,Housing
2025-01-06,Bob,Chipotle,117.68,Food
2025-03-05,Heidi,Doctor Visit,71.48,Health
2025-02-21,Alice,Pharmacy,142.18,Health
2025-02-28,Heidi,Utility Bill,636.04,Housing
2025-03-03,Frank,Chipotle,59.73,Food
2025-02-05,Ivan,Concert Ticket,144.28,Entertainment
2025-03-27,Frank,Utility Bill,687.61,Housing
2025-03-07,Heidi,Monthly Rent,1731.9,Housing
2025-03-21,David,Apple Store,984.46,Electronics
2025-03-04,Charlie,Monthly Rent,1914.68,Housing
2025-01-18,Frank,Best Buy,831.53,Electronics
2025-01-05,Alice,Home Depot,553.93,Housing
2025-02-18,Ivan,Concert Ticket,20.72,Entertainment
2025-01-20,Charlie,Utility Bill,1372.73,Housing
2025-01-17,Judy,Pharmacy,61.8,Health
2025-01-30,Charlie,Uber,10.47,Transport
2025-02-19,Ivan,Apple Store,318.52,Electronics
2025-03-06,Grace,Gas Station,25.52,Transport
2025-01-22,David,Doctor Visit,25.92,Health
2025-03-07,Eve,Apple Store,455.52,Electronics
2025-01-01,Grace,Chipotle,126.76,Food
2025-03-09,Frank,Newegg,349.41,Electronics
2025-01-03,David,Netflix,120.73,Entertainment
2025-03-16,Ivan,Spotify,35.21,Entertainment
2025-03-18,Heidi,Utility Bill,601.88,Housing
2025-03-26,Alice,Train Ticket,75.4,Transport
2025-02-26,Alice,Amazon - Headphones,429.92,Electronics
2025-03-11,Judy,Netflix,12.34,Entertainment
2025-01-21,Judy,Parking,39.75,Transport
2025-03-18,Ivan,Doctor Visit,107.1,Health
2025-02-12,Eve,Amazon - Headphones,1151.72,Electronics
2025-02-23,Alice,Utility Bill,1831.8,Housing
2025-01-06,Charlie,Steam,31.46,Entertainment
2025-02-12,Frank,Concert Ticket,50.46,Entertainment
2025-03-01,David,Gas Station,27.7,Transport
2025-03-09,Heidi,Train Ticket,52.95,Transport
2025-02-13,Judy,Best Buy,590.47,Electronics
2025-02-05,Eve,Pharmacy,24.87,Health
2025-03-09,Alice,Movie Theater,76.46,Entertainment
2025-01-04,Charlie,Gas Station,115.97,Transport
2025-01-10,Bob,Home Depot,1683.68,Housing
2025-03-27,David,Internet,776.5,Housing
2025-03-03,Charlie,Newegg,631.27,Electronics
2025-03-16,David,Starbucks,53.09,Food
2025-01-23,Bob,Newegg,795.48,Electronics
2025-01-13,Eve,Best Buy,985.2,Electronics
2025-03-17,Grace,Pharmacy,103.91,Health
2025-02-18,Heidi,Sweetgreen,38.67,Food
2025-01-17,Bob,Parking,84.1,Transport
2025-01-15,Eve,Apple Store,282.79,Electronics
2025-03-01,Judy,Newegg,326.22,Electronics
2025-02-21,Alice,Concert Ticket,143.55,Entertainment
2025-01-08,David,Gas Station,44.82,Transport
2025-03-01,David,Monthly Rent,699.17,Housing
2025-02-24,Charlie,Grocery Store,143.9,Food
2025-03-16,David,Pharmacy,41.98,Health
2025-02-26,Frank,Sweetgreen,32.12,Food
2025-02-25,Alice,Grocery Store,78.65,Food
2025-02-02,Alice,Train Ticket,38.0,Transport
2025-02-28,Charlie,Best Buy,87.85,Electronics
2025-03-30,Judy,Doctor Visit,126.1,Health
2025-02-17,Heidi,Monthly Rent,743.39,Housing
2025-03-22,Charlie,Amazon - Headphones,700.01,Electronics
2025-02-25,Judy,Movie Theater,60.99,Entertainment
2025-03-31,Ivan,Uber,97.4,Transport
2025-01-30,Ivan,Newegg,1373.95,Electronics
2025-02-02,Bob,Lyft,70.58,Transport
2025-01-19,Grace,Home Depot,949.27,Housing
2025-01-10,Heidi,Utility Bill,1314.55,Housing
2025-01-18,Bob,Doctor Visit,75.4,Health
2025-03-29,Grace,Home Depot,2346.24,Housing
2025-01-16,Eve,Utility Bill,2081.1,Housing
2025-03-07,Eve,Pharmacy,88.16,Health
2025-03-22,Alice,Steam,106.78,Entertainment
2025-02-26,Ivan,Chipotle,66.3,Food
2025-03-11,David,Netflix,27.4,Entertainment
2025-01-09,Bob,Starbucks,26.46,Food
2025-02-02,Bob,Uber,113.45,Transport
2025-02-22,Bob,Doctor Visit,74.62,Health
2025-03-07,Bob,Monthly Rent,2233.27,Housing
2025-02-02,Charlie,Movie Theater,36.74,Entertainment
2025-02-22,Heidi,Newegg,1435.83,Electronics
2025-01-14,Grace,Pharmacy,5.5,Health
2025-02-06,Frank,Pharmacy,46.93,Health
2025-02-21,Frank,McDonalds,26.3,Food
2025-03-10,Charlie,Best Buy,29.97,Electronics
2025-02-06,Charlie,Spotify,66.52,Entertainment
2025-01-01,Bob,Spotify,41.58,Entertainment
2025-02-02,Charlie,Starbucks,119.95,Food
2025-03-16,David,Gym Membership,95.79,Health
2025-03-22,Heidi,Doctor Visit,22.49,Health
2025-01-22,Ivan,Movie Theater,134.76,Entertainment
2025-01-02,Judy,Doctor Visit,57.35,Health
2025-03-29,Charlie,Uber,106.05,Transport
2025-01-29,Bob,Newegg,202.97,Electronics
2025-03-02,Bob,Chipotle,89.77,Food
2025-02-28,David,Concert Ticket,91.43,Entertainment
2025-02-26,Charlie,Train Ticket,46.1,Transport
2025-02-07,Heidi,Gym Membership,97.61,Health
2025-03-17,Frank,Parking,121.55,Transport
2025-03-21,Judy,Netflix,50.08,Entertainment
2025-03-02,Frank,Pharmacy,67.69,Health
2025-02-16,Judy,Starbucks,134.74,Food
2025-02-06,Ivan,Steam,128.19,Entertainment
2025-01-31,Heidi,Steam,148.4,Entertainment
2025-02-28,Charlie,Monthly Rent,2061.52,Housing
2025-01-16,Grace,Netflix,30.46,Entertainment
2025-03-10,Grace,Movie Theater,116.65,Entertainment
2025-02-17,Frank,Best Buy,376.73,Electronics
2025-01-04,Heidi,Gas Station,110.37,Transport
2025-03-06,Heidi,Internet,548.78,Housing
2025-03-01,David,McDonalds,59.3,Food
2025-02-14,Grace,Netflix,16.8,Entertainment
2025-02-15,Heidi,Pharmacy,36.81,Health
2025-02-25,Eve,Chipotle,12.97,Food
2025-03-23,Heidi,Best Buy,283.69,Electronics
2025-02-24,Charlie,Doctor Visit,95.53,Health
2025-03-23,Heidi,Starbucks,8.46,Food
2025-03-19,Grace,Best Buy,1366.2,Electronics
2025-02-20,Grace,Pharmacy,41.53,Health
2025-02-04,David,Gas Station,138.51,Transport
2025-03-01,David,Pharmacy,82.74,Health
2025-02-07,Alice,McDonalds,113.71,Food
2025-03-26,Grace,Amazon - Headphones,680.01,Electronics
2025-01-28,Grace,Parking,129.63,Transport
2025-02-01,Frank,Lyft,141.84,Transport
2025-02-03,Judy,Best Buy,64.52,Electronics
2025-01-09,Bob,Home Depot,1468.59,Housing
2025-03-20,Judy,Monthly Rent,787.41,Housing
2025-03-26,Heidi,Monthly Rent,1062.1,Housing
2025-03-21,David,Gym Membership,42.53,Health
2025-02-05,Heidi,Doctor Visit,81.49,Health
2025-02-15,David,Train Ticket,82.04,Transport
2025-02-10,Frank,Parking,138.07,Transport
2025-01-17,Frank,Pharmacy,39.62,Health
2025-03-16,Frank,Doctor Visit,112.19,Health
2025-03-30,Grace,Starbucks,9.37,Food
2025-02-10,Heidi,Grocery Store,32.5,Food
2025-03-04,Grace,Parking,62.73,Transport
2025-02-06,Heidi,Apple Store,332.82,Electronics
2025-03-10,Heidi,Gas Station,16.45,Transport
2025-01-29,David,Concert Ticket,34.94,Entertainment
2025-01-08,Alice,Apple Store,907.18,Electronics
2025-02-18,Charlie,Netflix,148.74,Entertainment
2025-01-10,Bob,Apple Store,994.35,Electronics
2025-03-12,Heidi,Gym Membership,126.98,Health
2025-03-02,David,Concert Ticket,107.62,Entertainment
2025-01-11,Alice,Grocery Store,118.53,Food
2025-01-31,David,Gym Membership,115.31,Health
2025-01-17,Grace,Apple Store,730.24,Electronics
2025-01-27,Frank,Movie Theater,102.19,Entertainment
2025-01-07,Ivan,Amazon - Headphones,1309.36,Electronics
2025-03-09,Grace,Doctor Visit,47.52,Health
2025-01-18,Grace,Best Buy,419.79,Electronics
2025-01-16,Frank,Internet,2119.42,Housing
2025-01-04,Judy,Gas Station,98.99,Transport
2025-03-20,Judy,Spotify,21.7,Entertainment
2025-03-09,Charlie,Newegg,34.62,Electronics
2025-01-31,Ivan,Spotify,51.81,Entertainment
2025-02-02,Ivan,Best Buy,209.28,Electronics
2025-02-04,Charlie,Home Depot,2076.28,Housing
2025-01-06,Eve,Movie Theater,149.84,Entertainment
2025-02-26,Charlie,Parking,136.76,Transport
2025-01-01,Ivan,Utility Bill,574.31,Housing
2025-03-09,Grace,Best Buy,974.41,Electronics
2025-03-24,Ivan,Steam,51.45,Entertainment
2025-02-23,Grace,Pharmacy,83.57,Health
2025-01-31,Judy,Best Buy,1151.29,Electronics
2025-03-03,Frank,Home Depot,582.32,Housing
2025-03-27,Bob,Home Depot,730.47,Housing
2025-01-07,Ivan,Gym Membership,131.52,Health
2025-02-11,Bob,Train Ticket,14.75,Transport
2025-02-19,Heidi,Doctor Visit,129.49,Health
2025-02-28,Charlie,Internet,757.89,Housing
2025-03-07,David,Best Buy,1032.53,Electronics
2025-03-22,Alice,Movie Theater,53.78,Entertainment
2025-01-29,Charlie,McDonalds,86.96,Food
2025-02-10,Charlie,Gas Station,133.71,Transport
2025-03-14,Judy,Gym Membership,74.87,Health
2025-03-25,Frank,Gym Membership,30.85,Health
2025-01-16,Frank,Home Depot,1251.0,Housing
2025-03-26,David,Steam,148.67,Entertainment
2025-03-15,Judy,Gym Membership,67.17,Health
2025-02-24,Eve,Amazon - Headphones,1322.75,Electronics
2025-01-20,David,Newegg,58.55,Electronics
2025-01-22,Charlie,Concert Ticket,34.09,Entertainment
2025-01-29,Alice,Spotify,38.23,Entertainment
2025-02-10,Alice,Uber,91.04,Transport
2025-02-08,David,Gym Membership,138.0,Health
2025-03-21,Eve,Whole Foods,121.19,Food
2025-02-24,Bob,Utility Bill,1380.91,Housing
2025-03-13,Bob,Gas Station,46.95,Transport
2025-01-14,Alice,Internet,602.42,Housing
2025-03-04,Heidi,Apple Store,1062.55,Electronics
2025-01-23,Alice,Spotify,36.82,Entertainment
2025-03-20,Alice,Netflix,25.23,Entertainment
2025-02-24,Grace,Spotify,95.4,Entertainment
2025-02-17,Eve,Monthly Rent,1960.42,Housing
2025-02-04,David,Newegg,179.28,Electronics
2025-03-24,Grace,Pharmacy,29.17,Health
2025-03-08,Frank,Utility Bill,1583.88,Housing
2025-03-21,Alice,Parking,67.75,Transport
2025-01-09,Heidi,Internet,1372.06,Housing
2025-01-13,Eve,Gym Membership,42.49,Health
2025-03-25,David,Movie Theater,98.71,Entertainment
2025-03-26,Bob,Spotify,83.23,Entertainment
2025-03-12,Bob,Starbucks,116.81,Food
2025-03-04,Eve,Parking,133.06,Transport
2025-02-10,Judy,Parking,13.67,Transport
2025-02-17,Eve,Internet,957.39,Housing
2025-01-08,Frank,Pharmacy,63.63,Health
2025-02-19,Bob,Chipotle,137.32,Food
2025-01-12,Alice,Pharmacy,54.71,Health
2025-01-04,Frank,Monthly Rent,896.67,Housing
2025-02-13,David,Grocery Store,132.57,Food
2025-02-03,Charlie,Lyft,72.59,Transport
2025-02-04,Heidi,McDonalds,86.7,Food
2025-01-27,Judy,Parking,86.57,Transport
2025-02-05,Alice,Movie Theater,48.06,Entertainment
2025-02-02,Judy,Whole Foods,133.52,Food
2025-01-05,Ivan,Gym Membership,98.53,Health
2025-02-13,Alice,Netflix,44.31,Entertainment
2025-03-31,Ivan,Apple Store,70.28,Electronics
2025-02-28,Judy,Amazon - Headphones,1335.94,Electronics
2025-02-16,Ivan,Whole Foods,96.61,Food
2025-03-26,Ivan,Apple Store,36.84,Electronics
2025-03-09,Charlie,Newegg,839.28,Electronics
2025-01-30,Alice,Starbucks,51.46,Food
2025-01-07,Heidi,Utility Bill,2335.11,Housing
2025-01-21,Frank,Apple Store,569.49,Electronics
2025-02-19,David,McDonalds,31.96,Food
2025-02-07,Bob,Monthly Rent,1815.35,Housing
2025-03-18,Bob,Grocery Store,21.42,Food
2025-02-12,Alice,Amazon - Headphones,1441.56,Electronics
2025-02-21,Charlie,Parking,65.55,Transport
2025-03-24,Judy,Gym Membership,12.11,Health
2025-01-06,Grace,Grocery Store,60.59,Food
2025-01-24,Charlie,Chipotle,70.51,Food
2025-01-20,Charlie,Starbucks,96.14,Food
2025-01-28,Ivan,Whole Foods,28.95,Food
2025-02-22,Eve,Amazon - Headphones,56.1,Electronics
2025-01-02,Grace,Netflix,72.1,Entertainment
2025-01-27,Judy,Amazon - Headphones,1400.37,Electronics
2025-02-13,Ivan,Pharmacy,129.59,Health
2025-01-09,Ivan,Newegg,1202.1,Electronics
2025-02-09,Heidi,Pharmacy,147.19,Health
2025-03-24,Judy,Gym Membership,125.23,Health
2025-03-17,Heidi,Utility Bill,1969.75,Housing
2025-01-30,Grace,Sweetgreen,131.16,Food
2025-03-12,Grace,Lyft,68.42,Transport
2025-02-07,Frank,Concert Ticket,46.42,Entertainment
2025-03-07,Heidi,Doctor Visit,89.98,Health
2025-03-01,Alice,Gym Membership,10.85,Health
2025-01-31,Charlie,Sweetgreen,135.84,Food
2025-01-09,Grace,Netflix,83.6,Entertainment
2025-01-27,Alice,Grocery Store,60.18,Food
2025-02-01,Grace,Amazon - Headphones,1033.39,Electronics
2025-01-06,Grace,Spotify,38.66,Entertainment
2025-01-19,Eve,Amazon - Headphones,946.6,Electronics
2025-03-28,Bob,Newegg,1400.31,Electronics
2025-02-28,Judy,Best Buy,769.53,Electronics
2025-03-29,Heidi,Netflix,98.39,Entertainment
2025-03-28,Heidi,Internet,1670.13,Housing
2025-01-08,Grace,Home Depot,2240.63,Housing
2025-02-12,Eve,Netflix,26.79,Entertainment
2025-03-08,Bob,Newegg,107.69,Electronics
2025-02-19,Grace,Apple Store,1406.91,Electronics
2025-02-23,Bob,Apple Store,383.03,Electronics
2025-01-22,Bob,Monthly Rent,781.52,Housing
2025-01-21,Bob,Home Depot,1430.62,Housing
2025-02-10,Ivan,Starbucks,23.91,Food
2025-01-24,David,Spotify,49.85,Entertainment
2025-01-07,Charlie,Doctor Visit,147.1,Health
2025-01-25,Grace,Pharmacy,7.19,Health
2025-03-10,Alice,Newegg,684.78,Electronics
2025-02-16,Grace,Gym Membership,11.32,Health
2025-03-12,Bob,Parking,84.47,Transport
2025-02-07,Charlie,Gas Station,5.4,Transport
2025-02-27,Bob,Internet,1105.38,Housing
2025-02-17,Judy,Whole Foods,108.89,Food
2025-03-02,Alice,Lyft,48.64,Transport
2025-02-14,Judy,Amazon - Headphones,957.93,Electronics
2025-03-03,Frank,Uber,57.37,Transport
2025-01-28,Charlie,Spotify,129.14,Entertainment
2025-03-21,Bob,Apple Store,217.79,Electronics
2025-02-23,Bob,Internet,814.73,Housing
2025-01-16,David,Home Depot,2447.42,Housing
2025-03-19,David,Pharmacy,74.21,Health
2025-01-14,Judy,Spotify,87.33,Entertainment
2025-02-05,Ivan,Doctor Visit,7.41,Health
2025-02-19,Grace,Pharmacy,33.79,Health
2025-01-24,Eve,Gym Membership,45.67,Health
2025-03-06,Frank,Starbucks,127.06,Food
2025-01-22,Ivan,Sweetgreen,146.36,Food
2025-02-04,Frank,Apple Store,942.95,Electronics
2025-03-04,Eve,Lyft,146.16,Transport
2025-02-05,Eve,Apple Store,60.14,Electronics
2025-01-21,Judy,Lyft,56.73,Transport
2025-02-27,Judy,Steam,95.17,Entertainment
2025-03-30,Frank,Newegg,1123.77,Electronics
2025-03-13,David,Newegg,133.71,Electronics
2025-02-26,Eve,Grocery Store,86.04,Food
2025-03-08,Eve,Chipotle,47.34,Food
2025-01-22,Judy,Internet,2350.45,Housing
2025-01-08,Frank,Grocery Store,111.99,Food
2025-01-23,Alice,Utility Bill,2054.62,Housing
2025-02-03,Ivan,Sweetgreen,96.07,Food
2025-03-01,Heidi,Train Ticket,89.38,Transport
2025-03-01,Heidi,Starbucks,143.75,Food
2025-01-10,David,Uber,50.37,Transport
2025-01-27,Charlie,Concert Ticket,61.57,Entertainment
2025-03-29,Bob,Sweetgreen,133.12,Food
2025-02-08,David,Best Buy,175.15,Electronics
2025-03-25,Alice,Pharmacy,114.61,Health
2025-03-10,Bob,Newegg,1324.55,Electronics
2025-02-02,Grace,Monthly Rent,2163.72,Housing
2025-02-15,Judy,Grocery Store,134.01,Food
2025-02-27,Frank,Grocery Store,117.56,Food
2025-01-18,Alice,Chipotle,137.27,Food
2025-03-20,Eve,Utility Bill,1262.25,Housing
2025-01-16,Charlie,Pharmacy,21.45,Health
2025-02-14,Charlie,Whole Foods,82.15,Food
2025-01-23,Ivan,Utility Bill,1153.77,Housing
2025-02-28,Bob,Lyft,58.42,Transport
2025-02-10,Judy,Netflix,77.39,Entertainment
2025-02-26,David,Uber,88.58,Transport
2025-03-18,Grace,Doctor Visit,18.87,Health
2025-01-15,Judy,Steam,91.8,Entertainment
2025-03-29,Alice,Utility Bill,1398.18,Housing
2025-02-03,David,Lyft,37.88,Transport
2025-03-20,Eve,Whole Foods,102.72,Food
2025-01-09,David,Netflix,78.87,Entertainment
2025-02-12,Alice,Utility Bill,1786.55,Housing
2025-01-03,Eve,Uber,51.95,Transport
2025-03-17,Eve,Pharmacy,57.77,Health
2025-03-27,David,Home Depot,1268.59,Housing
2025-01-19,Heidi,Newegg,523.22,Electronics
2025-01-30,Heidi,Utility Bill,541.37,Housing
2025-02-28,Bob,Doctor Visit,18.85,Health
2025-01-06,Ivan,Netflix,89.38,Entertainment
2025-03-22,Grace,Newegg,890.84,Electronics
2025-01-06,Ivan,Uber,45.76,Transport
2025-01-23,Alice,Amazon - Headphones,1496.75,Electronics
2025-03-19,Eve,Pharmacy,119.22,Health
2025-02-23,Eve,Best Buy,387.02,Electronics
2025-02-25,David,Amazon - Headphones,338.78,Electronics
2025-02-13,Ivan,Movie Theater,87.1,Entertainment
2025-01-05,Eve,McDonalds,24.7,Food
2025-02-20,Charlie,Lyft,111.52,Transport
2025-03-31,David,Utility Bill,1309.8,Housing
2025-02-09,Bob,Gym Membership,36.61,Health
2025-02-19,David,Apple Store,53.16,Electronics
